===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-12-18 17:06:46
count workspace : c:\webdev\omnibot2
total files : 131
total code lines : 8860
total comment lines : 150
total blank lines : 1716

.dockerignore, code is 5, comment is 0, blank is 0.
.env, code is 6, comment is 0, blank is 0.
.gitignore, code is 4, comment is 0, blank is 0.
config\botConfig.yml, code is 1, comment is 0, blank is 0.
config\connectionProviderConfig.yml, code is 6, comment is 0, blank is 0.
config\echoHandlerConfig.yml, code is 2, comment is 0, blank is 0.
config\echoParserConfig.yml, code is 1, comment is 0, blank is 0.
config\matcherConfig.yml, code is 8, comment is 0, blank is 0.
config\splitParserConfig.yml, code is 4, comment is 0, blank is 0.
config\wordFilterConfig.yml, code is 3, comment is 0, blank is 0.
docker-compose.yml, code is 7, comment is 0, blank is 1.
Dockerfile, code is 26, comment is 0, blank is 4.
gulpfile.js, code is 15, comment is 0, blank is 3.
package.json, code is 72, comment is 0, blank is 4.
src\bot\bot.ts, code is 149, comment is 39, blank is 24.
src\bot\index.ts, code is 1, comment is 0, blank is 0.
src\client\clientController.ts, code is 98, comment is 26, blank is 13.
src\client\index.ts, code is 1, comment is 0, blank is 0.
src\config\bot\botConfig.ts, code is 6, comment is 1, blank is 2.
src\config\bot\index.ts, code is 1, comment is 0, blank is 0.
src\config\database\connectionProviderConfig.ts, code is 16, comment is 1, blank is 2.
src\config\database\index.ts, code is 1, comment is 0, blank is 0.
src\config\env.ts, code is 15, comment is 0, blank is 1.
src\config\index.ts, code is 24, comment is 0, blank is 4.
src\config\regexp.ts, code is 18, comment is 0, blank is 3.
src\config\service\base\index.ts, code is 1, comment is 0, blank is 0.
src\config\service\base\serviceConfig.ts, code is 6, comment is 1, blank is 2.
src\config\service\filter\baseFilterConfig.ts, code is 5, comment is 1, blank is 2.
src\config\service\filter\index.ts, code is 2, comment is 0, blank is 0.
src\config\service\filter\wordFilterConfig.ts, code is 10, comment is 1, blank is 2.
src\config\service\handler\baseHandlerConfig.ts, code is 10, comment is 1, blank is 2.
src\config\service\handler\echoHandlerConfig.ts, code is 5, comment is 1, blank is 2.
src\config\service\handler\index.ts, code is 2, comment is 0, blank is 0.
src\config\service\matcher\index.ts, code is 2, comment is 0, blank is 0.
src\config\service\matcher\matcherConfig.ts, code is 19, comment is 1, blank is 3.
src\config\service\matcher\matchingContext.ts, code is 7, comment is 1, blank is 2.
src\config\service\parser\baseParserConfig.ts, code is 5, comment is 1, blank is 2.
src\config\service\parser\echoParserConfig.ts, code is 5, comment is 1, blank is 2.
src\config\service\parser\index.ts, code is 3, comment is 0, blank is 0.
src\config\service\parser\splitParserConfig.ts, code is 13, comment is 1, blank is 3.
src\constants\configIdentifier.ts, code is 9, comment is 0, blank is 0.
src\constants\index.ts, code is 3, comment is 0, blank is 0.
src\constants\repositoryIdentifier.ts, code is 4, comment is 0, blank is 0.
src\constants\serviceIdentifier.ts, code is 11, comment is 0, blank is 0.
src\container\configModule.ts, code is 26, comment is 0, blank is 6.
src\container\databaseModule.ts, code is 22, comment is 0, blank is 4.
src\container\installer.ts, code is 12, comment is 0, blank is 2.
src\container\serviceModule.ts, code is 40, comment is 0, blank is 9.
src\database\connectionProvider.ts, code is 39, comment is 0, blank is 6.
src\database\index.ts, code is 1, comment is 0, blank is 0.
src\entity\domainEntity.ts, code is 3, comment is 0, blank is 1.
src\entity\index.ts, code is 2, comment is 0, blank is 0.
src\entity\message.ts, code is 30, comment is 3, blank is 9.
src\error\configurationError.ts, code is 7, comment is 0, blank is 2.
src\error\databaseError.ts, code is 7, comment is 0, blank is 2.
src\error\discordClientError.ts, code is 7, comment is 0, blank is 2.
src\error\index.ts, code is 7, comment is 0, blank is 0.
src\error\invalidArgumentError.ts, code is 7, comment is 0, blank is 2.
src\error\matchingError.ts, code is 7, comment is 0, blank is 2.
src\error\notFounderror.ts, code is 7, comment is 0, blank is 2.
src\error\parsingError.ts, code is 7, comment is 0, blank is 2.
src\index.ts, code is 13, comment is 0, blank is 2.
src\logger\index.ts, code is 2, comment is 0, blank is 0.
src\logger\logger.ts, code is 54, comment is 40, blank is 14.
src\logger\logLevel.ts, code is 6, comment is 0, blank is 0.
src\repository\base\dataMapper.ts, code is 5, comment is 0, blank is 1.
src\repository\base\index.ts, code is 2, comment is 0, blank is 0.
src\repository\base\repository.ts, code is 55, comment is 17, blank is 7.
src\repository\message\index.ts, code is 2, comment is 0, blank is 0.
src\repository\message\messageDataMapper.ts, code is 18, comment is 11, blank is 3.
src\repository\message\messageRepository.ts, code is 27, comment is 0, blank is 5.
src\service\base\baseService.ts, code is 15, comment is 0, blank is 4.
src\service\base\index.ts, code is 1, comment is 0, blank is 0.
src\service\filter\baseFilter.ts, code is 15, comment is 0, blank is 4.
src\service\filter\index.ts, code is 2, comment is 0, blank is 0.
src\service\filter\wordFilter.ts, code is 22, comment is 0, blank is 5.
src\service\handler\baseHandler.ts, code is 17, comment is 0, blank is 4.
src\service\handler\echoHandler.ts, code is 23, comment is 0, blank is 5.
src\service\handler\handlingContext.ts, code is 10, comment is 0, blank is 0.
src\service\handler\index.ts, code is 2, comment is 0, blank is 0.
src\service\matcher\index.ts, code is 1, comment is 0, blank is 0.
src\service\matcher\matcher.ts, code is 61, comment is 0, blank is 8.
src\service\parser\baseParser.ts, code is 17, comment is 0, blank is 4.
src\service\parser\echoParser.ts, code is 18, comment is 0, blank is 4.
src\service\parser\index.ts, code is 4, comment is 0, blank is 0.
src\service\parser\parsingContext.ts, code is 4, comment is 0, blank is 0.
src\service\parser\splitParser.ts, code is 24, comment is 0, blank is 5.
src\util\index.ts, code is 1, comment is 0, blank is 0.
src\util\isNil.ts, code is 6, comment is 0, blank is 0.
tests\client\clientController.test.ts, code is 113, comment is 0, blank is 24.
tests\config\env.test.ts, code is 28, comment is 0, blank is 7.
tests\config\loader.test.ts, code is 67, comment is 0, blank is 15.
tests\config\mockConfig.ts, code is 16, comment is 0, blank is 1.
tests\config\mockConfigSchema.ts, code is 13, comment is 1, blank is 3.
tests\config\regexp.test.ts, code is 32, comment is 0, blank is 8.
tests\database\connectionProvider.test.ts, code is 52, comment is 0, blank is 11.
tests\database\mockConfig.ts, code is 9, comment is 0, blank is 1.
tests\entity\message\message.test.ts, code is 38, comment is 0, blank is 5.
tests\logger\logger.test.ts, code is 85, comment is 0, blank is 15.
tests\repository\base\mockDataMapper.ts, code is 13, comment is 0, blank is 2.
tests\repository\base\mockEntity.ts, code is 10, comment is 0, blank is 4.
tests\repository\base\repository.test.ts, code is 105, comment is 0, blank is 20.
tests\repository\message\messageDataMapper.test.ts, code is 47, comment is 0, blank is 6.
tests\repository\message\messageRepository.test.ts, code is 58, comment is 0, blank is 14.
tests\service\filter\base\baseFilter.test.ts, code is 14, comment is 0, blank is 4.
tests\service\filter\base\mockConfig.ts, code is 5, comment is 0, blank is 2.
tests\service\filter\base\mockFilter.ts, code is 13, comment is 0, blank is 4.
tests\service\filter\wordFilter\mockConfig.ts, code is 8, comment is 0, blank is 1.
tests\service\filter\wordFilter\wordFilter.test.ts, code is 21, comment is 0, blank is 5.
tests\service\handler\base\baseHandler.test.ts, code is 14, comment is 0, blank is 4.
tests\service\handler\base\mockConfig.ts, code is 6, comment is 0, blank is 2.
tests\service\handler\base\mockHandler.ts, code is 20, comment is 0, blank is 5.
tests\service\handler\echoHandler\echoHandler.test.ts, code is 21, comment is 0, blank is 5.
tests\service\handler\echoHandler\mockConfig.ts, code is 5, comment is 0, blank is 1.
tests\service\matcher\matcher.test.ts, code is 94, comment is 0, blank is 18.
tests\service\matcher\mockConfig.ts, code is 77, comment is 0, blank is 5.
tests\service\mockMessage.ts, code is 10, comment is 0, blank is 1.
tests\service\parser\base\baseParser.test.ts, code is 14, comment is 0, blank is 4.
tests\service\parser\base\mockConfig.ts, code is 5, comment is 0, blank is 2.
tests\service\parser\base\mockParser.ts, code is 14, comment is 0, blank is 4.
tests\service\parser\echoParser\echoParser.test.ts, code is 16, comment is 0, blank is 4.
tests\service\parser\echoParser\mockConfig.ts, code is 4, comment is 0, blank is 1.
tests\service\parser\splitParser\mockConfig.ts, code is 15, comment is 0, blank is 2.
tests\service\parser\splitParser\splitParser.test.ts, code is 44, comment is 0, blank is 7.
tests\tslint.json, code is 31, comment is 0, blank is 2.
tests\util\isNil.test.ts, code is 26, comment is 0, blank is 5.
tsconfig.json, code is 37, comment is 0, blank is 5.
tslint.cc.json, code is 179, comment is 0, blank is 9.
tslint.json, code is 26, comment is 0, blank is 2.
yarn-error.log, code is 3093, comment is 1, blank is 631.
yarn.lock, code is 3092, comment is 0, blank is 636.
===============================================================================
